filename	trial_type	topic_obj	topic_col	topic_loc	backgr_obj	backgr_col	backgr_loc	words	Gen_1	Gen_2	Gen_3	Gen_4	Gen_5	condition	chain
07.png	rel	cup	yellow	right	pen	blue	left	fop li	fop li	fop li	fop li	fob li	neb li	control	3
08-2.png	rel	cup	blue	left	pen	yellow	right	fop pu	fop pu	fop ku	fop ku	fob ku	kub ku	control	3
08.png	rel	cup	blue	right	pen	yellow	left	fop pu	fop pu	fop ku	fop ku	fob ku	yan ku	control	3
09.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur	kur	kur	kub li	control	3
09d.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur	kur	kur	kub li	control	3
10.png	sin	ball	blue	cent	no	no	no	kur	kur	kur	kur	kur	kub ku	control	3
10d.png	sin	ball	blue	cent	no	no	no	kur	kur	kur	kur	kur	kub	control	3
11-2.png	rel	ball	yellow	left	pen	blue	right	kur li	kur li	kur li	kur li	kur ku	yan li	control	3
11.png	rel	ball	yellow	right	pen	blue	left	kur li	kur li	kur li	kur li	kur li	kub li	control	3
12-2.png	rel	ball	blue	right	pen	yellow	left	kur pu	kur pu	kur pu	kur pu	kur pu	kub ku	control	3
12.png	rel	ball	blue	left	pen	yellow	right	kur pu	kur pu	kur pu	kur pu	kur ku	kub ku	control	3
13.png	sin	book	yellow	cent	no	no	no	yan	yan	yan	yan	yan	yan li	control	3
13d.png	sin	book	yellow	cent	no	no	no	yan	yan	yan	yan	yan	yan li	control	3
14.png	sin	book	blue	cent	no	no	no	yan	yan	yan	yan	yan	yan ku	control	3
14d.png	sin	book	blue	cent	no	no	no	yan	yan	yan	yan pu	yan	yan ku	control	3
15-2.png	rel	book	yellow	left	pen	blue	right	yan li	yan li	yan li	yan li	yan li	yan li	control	3
15.png	rel	book	yellow	right	pen	blue	left	yan li	yan li	yan li	yan li	yan li	yan li	control	3
16-2.png	rel	book	blue	right	pen	yellow	left	yan pu	yan pu	yan ku	yan ku	yan ku	yan ku	control	3
16.png	rel	book	blue	left	pen	yellow	right	yan pu	yan pu	yan pu	yan pu	yan ku	yan ku	control	3
01.png	sin	pen	yellow	cent	no	no	no	meeb	meep	meep	meep	meep	meep li	control	4
01d.png	sin	pen	yellow	cent	no	no	no	meeb	meep	meep	meep	meep	meep li	control	4
02.png	sin	pen	blue	cent	no	no	no	meeb	meep	meep	meep	meep	meep pu	control	4
02d.png	sin	pen	blue	cent	no	no	no	meeb	meep	meep	meep	meep	meep pu	control	4
03-2.png	rel	pen	yellow	left	pen	blue	right	meeb li	meep li	meep li	meep li	meep li	meep li	control	4
03.png	rel	pen	yellow	right	pen	blue	left	meeb li	meep li	meep li	meep li	meep li	meep li	control	4
04-2.png	rel	pen	blue	right	pen	yellow	left	meeb pu	meep pu	meep pu	meep pu	meep pu	meep pu	control	4
04.png	rel	pen	blue	left	pen	yellow	right	meeb pu	meep pu	meep pu	yan pu	meep pu	meep pu	control	4
05.png	sin	cup	yellow	cent	no	no	no	fop	fop	fop	pef	pef	puf li	control	4
05d.png	sin	cup	yellow	cent	no	no	no	fop	fop	fop	pef	pef	puf li	control	4
06.png	sin	cup	blue	cent	no	no	no	fop	fop	fop	pef pu	pef	puf pu	control	4
06d.png	sin	cup	blue	cent	no	no	no	fop	fop	fop	pef	pef	puf pu	control	4
07-2.png	rel	cup	yellow	left	pen	blue	right	fop li	fop li	fop li	pef li	pef li	puf li	control	4
07.png	rel	cup	yellow	right	pen	blue	left	fop li	fop li	fop li	pef le	pef li	puf li	control	4
08-2.png	rel	cup	blue	left	pen	yellow	right	fop pu	fop pu	fop pu	meep pu	pef pu	puf pu	control	4
